client_id,district_id,client_age,client_gender,age_group,district_name,region,pop_size,no_of_municip<499,no_of_municip<2000,no_of_municip<10000 ,no_of_municip>10000,no_cities,ratio_urban,avg_salary,unemploymant_95,unemploymant_96,no_of_enterpreneurs,no_crimes_95,no_crimes_96,disp_id,account_id,disp_type,card_id,card_type,card_issued,card_issue_year,card_issue_month,statement_freq,account_date,loan_id,amount_x,duration,payments,status,loan_month,loan_year,tot_trans_amount,tot_trans_count,tot_order_amount,tot_order_count,amount_y,ord_HOUSEHOLD_PAYMENT,ord_INSURANCE_PAYMENT,ord_LEASING_PAYMENT,ord_LOAN_PAYMENT,ord_UNKNOWN,LOS,Target
11,57,49.0,F,40.0,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,11,8,DISPONENT,,,,,,monthly issuance,1995-09-21,,,,,,,,1712906.1000000008,254,9324.0,2.0,9324.0,2612.0,0.0,0.0,0.0,6712.0,4.0,
12,40,19.0,M,10.0,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,12,9,OWNER,,,,,,monthly issuance,1993-01-27,,,,,,,,696434.0999999994,361,,,,,,,,,7.0,
13,54,26.0,F,20.0,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,13,10,OWNER,,,,,,monthly issuance,1996-08-28,,,,,,,,1040605.0999999996,156,8377.0,2.0,8377.0,7033.0,0.0,1344.0,0.0,0.0,3.0,
14,76,58.0,F,50.0,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,14,11,OWNER,,,,,,monthly issuance,1995-10-10,,,,,,,,258100.1000000001,186,2132.0,1.0,2132.0,2132.0,0.0,0.0,0.0,0.0,4.0,
15,21,81.0,F,80.0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,15,12,OWNER,,,,,,monthly issuance,1997-04-15,,,,,,,,216751.30000000005,106,3592.0,2.0,3592.0,3592.0,0.0,0.0,0.0,0.0,3.0,
16,21,81.0,M,80.0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,16,12,DISPONENT,,,,,,monthly issuance,1997-04-15,,,,,,,,216751.30000000005,106,3592.0,2.0,3592.0,3592.0,0.0,0.0,0.0,0.0,3.0,
17,76,65.0,M,60.0,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,17,13,OWNER,,,,,,monthly issuance,1997-08-17,,,,,,,,208214.0000000001,75,2444.0,1.0,2444.0,2444.0,0.0,0.0,0.0,0.0,2.0,
18,76,69.0,F,60.0,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,18,13,DISPONENT,,,,,,monthly issuance,1997-08-17,,,,,,,,208214.0000000001,75,2444.0,1.0,2444.0,2444.0,0.0,0.0,0.0,0.0,2.0,
19,47,57.0,M,50.0,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,19,14,OWNER,2.0,classic,1998-03-13,1998.0,3.0,monthly issuance,1996-11-27,,,,,,,,785857.9999999994,124,3629.0,1.0,3629.0,3629.0,0.0,0.0,0.0,0.0,3.0,
20,46,21.0,M,20.0,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,20,15,OWNER,,,,,,monthly issuance,1993-10-02,,,,,,,,2329572.9000000022,365,3072.0,1.0,3072.0,3072.0,0.0,0.0,0.0,0.0,6.0,
21,12,47.0,F,40.0,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,21,16,OWNER,,,,,,monthly issuance,1997-09-23,,,,,,,,661403.8999999998,60,,,,,,,,,2.0,
22,1,30.0,F,30.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,17,OWNER,,,,,,monthly issuance,1997-01-08,,,,,,,,413049.2,54,4032.0,1.0,4032.0,4032.0,0.0,0.0,0.0,0.0,3.0,
23,1,27.0,M,20.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,23,17,DISPONENT,,,,,,monthly issuance,1997-01-08,,,,,,,,413049.2,54,4032.0,1.0,4032.0,4032.0,0.0,0.0,0.0,0.0,3.0,
24,43,60.0,F,60.0,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,24,18,OWNER,,,,,,weekly issuance,1993-05-26,,,,,,,,3728698.3,328,,,,,,,,,7.0,
25,21,61.0,F,60.0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,25,19,OWNER,,,,,,monthly issuance,1995-04-07,4961.0,30276.0,12.0,2523.0,B,4.0,1996.0,1575515.9,303,2523.2,1.0,2523.2,0.0,0.0,0.0,2523.2,0.0,5.0,0.0
26,74,31.0,F,30.0,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,26,20,OWNER,,,,,,monthly issuance,1996-08-24,,,,,,,,154748.1000000001,116,2003.0,1.0,2003.0,2003.0,0.0,0.0,0.0,0.0,3.0,
27,54,34.0,F,30.0,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,27,21,OWNER,,,,,,monthly issuance,1997-12-06,,,,,,,,298432.3,62,6276.0,1.0,6276.0,6276.0,0.0,0.0,0.0,0.0,2.0,
28,1,54.0,M,50.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,28,22,OWNER,,,,,,monthly issuance,1994-03-23,,,,,,,,2099466.500000002,310,6352.0,1.0,6352.0,6352.0,0.0,0.0,0.0,0.0,6.0,
29,30,48.0,F,40.0,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,29,23,OWNER,,,,,,monthly issuance,1993-05-22,,,,,,,,3195860.0000000033,370,5807.0,1.0,5807.0,5807.0,0.0,0.0,0.0,0.0,7.0,
30,74,42.0,F,40.0,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,30,24,OWNER,,,,,,monthly issuance,1996-12-05,,,,,,,,688130.5999999999,140,7862.0,2.0,7862.0,221.0,0.0,0.0,0.0,7641.0,3.0,
31,68,38.0,M,30.0,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,31,25,OWNER,,,,,,monthly issuance,1996-07-28,4962.0,30276.0,12.0,2523.0,A,12.0,1997.0,2958545.100000004,274,10614.2,4.0,10614.2,6817.0,164.0,0.0,2523.2,1110.0,3.0,1.0
32,52,19.0,M,10.0,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,32,26,OWNER,,,,,,monthly issuance,1993-08-08,,,,,,,,3471037.400000004,351,10387.0,1.0,10387.0,10387.0,0.0,0.0,0.0,0.0,6.0,
33,73,51.0,F,50.0,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,33,27,OWNER,,,,,,monthly issuance,1993-09-26,,,,,,,,1204954.1000000003,352,4054.0,1.0,4054.0,4054.0,0.0,0.0,0.0,0.0,6.0,
36,7,21.0,F,20.0,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,36,29,OWNER,,,,,,monthly issuance,1994-11-24,,,,,,,,1885934.7000000016,367,7708.0,3.0,7708.0,6871.0,8.0,0.0,0.0,829.0,5.0,
37,7,29.0,M,20.0,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,37,29,DISPONENT,,,,,,monthly issuance,1994-11-24,,,,,,,,1885934.7000000016,367,7708.0,3.0,7708.0,6871.0,8.0,0.0,0.0,829.0,5.0,
38,36,26.0,F,20.0,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,38,30,OWNER,,,,,,monthly issuance,1995-03-04,,,,,,,,4561803.200000001,281,2480.2,1.0,2480.2,0.0,0.0,2480.2,0.0,0.0,5.0,
39,68,32.0,M,30.0,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,39,31,OWNER,,,,,,monthly issuance,1994-04-27,,,,,,,,5807677.499999994,383,10202.0,1.0,10202.0,10202.0,0.0,0.0,0.0,0.0,6.0,
40,5,43.0,F,40.0,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,40,32,OWNER,,,,,,monthly issuance,1995-08-28,,,,,,,,1378941.7000000007,180,,,,,,,,,4.0,
41,22,31.0,M,30.0,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,41,33,OWNER,3.0,gold,1995-09-03,1995.0,9.0,monthly issuance,1993-08-26,,,,,,,,3231984.800000003,344,3892.0,1.0,3892.0,3892.0,0.0,0.0,0.0,0.0,6.0,
42,68,64.0,M,60.0,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,42,34,OWNER,4.0,classic,1998-11-26,1998.0,11.0,weekly issuance,1993-09-17,,,,,,,,4342630.499999997,409,8051.0,3.0,8051.0,502.0,0.0,1479.0,0.0,6070.0,6.0,
43,75,79.0,M,70.0,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,43,35,OWNER,,,,,,monthly issuance,1993-07-07,,,,,,,,697962.0999999989,379,2384.0,2.0,2384.0,2384.0,0.0,0.0,0.0,0.0,6.0,
44,38,23.0,F,20.0,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,44,36,OWNER,,,,,,monthly issuance,1993-07-01,,,,,,,,2793004.200000004,388,4069.0,1.0,4069.0,4069.0,0.0,0.0,0.0,0.0,7.0,
45,20,47.0,M,40.0,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,45,37,OWNER,,,,,,monthly issuance,1997-08-18,4967.0,318480.0,60.0,5308.0,D,10.0,1998.0,948153.8999999999,130,10305.5,4.0,10305.5,2317.0,97.0,0.0,5307.5,2584.0,2.0,0.0
46,19,60.0,F,60.0,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,46,38,OWNER,,,,,,weekly issuance,1997-08-08,4968.0,110736.0,48.0,2307.0,C,4.0,1998.0,571949.7000000001,130,9666.8,4.0,9666.8,6901.0,228.0,0.0,2306.8,231.0,2.0,1.0
47,76,66.0,M,60.0,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,47,39,OWNER,,,,,,monthly issuance,1993-09-22,,,,,,,,813539.4999999991,399,3115.0,2.0,3115.0,3115.0,0.0,0.0,0.0,0.0,6.0,
48,16,60.0,M,60.0,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,48,40,OWNER,,,,,,monthly issuance,1993-10-25,,,,,,,,906112.8999999987,366,4334.0,2.0,4334.0,33.0,0.0,0.0,0.0,4301.0,6.0,
49,72,41.0,F,40.0,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,49,41,OWNER,,,,,,monthly issuance,1997-08-02,,,,,,,,555118.1,71,,,,,,,,,2.0,
50,39,21.0,F,20.0,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,50,42,OWNER,,,,,,monthly issuance,1996-08-16,,,,,,,,594993.9999999998,198,6070.0,3.0,6070.0,4239.0,1592.0,0.0,0.0,239.0,3.0,
51,36,20.0,F,20.0,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,51,43,OWNER,5.0,junior,1995-04-24,1995.0,4.0,monthly issuance,1994-06-12,,,,,,,,2841686.7000000025,321,6589.0,1.0,6589.0,6589.0,0.0,0.0,0.0,0.0,6.0,
52,32,75.0,M,70.0,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,52,44,OWNER,,,,,,monthly issuance,1993-05-10,,,,,,,,549417.3999999992,316,2344.0,1.0,2344.0,2344.0,0.0,0.0,0.0,0.0,7.0,
53,64,23.0,M,20.0,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,53,45,OWNER,,,,,,monthly issuance,1997-09-02,,,,,,,,133399.90000000002,69,,,,,,,,,2.0,
55,45,51.0,F,50.0,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,55,47,OWNER,,,,,,monthly issuance,1993-08-08,,,,,,,,4933893.3999999985,565,7264.0,4.0,7264.0,6940.0,141.0,0.0,0.0,183.0,6.0,
56,21,40.0,M,40.0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,56,48,OWNER,7.0,classic,1998-06-11,1998.0,6.0,monthly issuance,1996-11-17,,,,,,,,1197219.6999999997,151,7297.0,2.0,7297.0,6268.0,0.0,0.0,0.0,1029.0,3.0,
57,21,38.0,F,30.0,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,57,48,DISPONENT,,,,,,monthly issuance,1996-11-17,,,,,,,,1197219.6999999997,151,7297.0,2.0,7297.0,6268.0,0.0,0.0,0.0,1029.0,3.0,
58,1,73.0,F,70.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,58,49,OWNER,,,,,,monthly issuance,1997-04-06,,,,,,,,183161.80000000005,93,3102.0,1.0,3102.0,3102.0,0.0,0.0,0.0,0.0,3.0,
59,1,43.0,M,40.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,59,50,OWNER,,,,,,monthly issuance,1994-05-06,,,,,,,,1916904.2000000018,377,7293.0,2.0,7293.0,269.0,0.0,0.0,0.0,7024.0,6.0,
60,67,20.0,M,20.0,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,60,51,OWNER,8.0,junior,1998-05-20,1998.0,5.0,monthly issuance,1996-05-11,,,,,,,,1322341.9,192,4131.0,2.0,4131.0,2074.0,0.0,0.0,0.0,2057.0,4.0,
61,16,51.0,F,50.0,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,61,52,OWNER,,,,,,monthly issuance,1997-01-29,,,,,,,,1264703.3999999997,144,4283.0,2.0,4283.0,560.0,0.0,0.0,0.0,3723.0,3.0,
62,77,67.0,M,60.0,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,62,53,OWNER,,,,,,monthly issuance,1995-06-07,,,,,,,,360117.7999999998,197,2851.0,1.0,2851.0,2851.0,0.0,0.0,0.0,0.0,5.0,
63,4,41.0,M,40.0,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,63,54,OWNER,,,,,,monthly issuance,1995-05-02,,,,,,,,282774.60000000003,210,2280.0,1.0,2280.0,2280.0,0.0,0.0,0.0,0.0,5.0,
64,20,74.0,M,70.0,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,64,55,OWNER,,,,,,monthly issuance,1996-02-19,,,,,,,,298743.1,150,3086.0,1.0,3086.0,3086.0,0.0,0.0,0.0,0.0,4.0,
65,50,57.0,F,50.0,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,65,56,OWNER,,,,,,monthly issuance,1994-05-16,,,,,,,,1761908.4000000013,293,8080.0,1.0,8080.0,8080.0,0.0,0.0,0.0,0.0,6.0,
66,1,48.0,F,40.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,66,57,OWNER,,,,,,monthly issuance,1995-05-21,,,,,,,,1955860.5000000014,255,4107.0,1.0,4107.0,4107.0,0.0,0.0,0.0,0.0,5.0,
67,29,67.0,F,60.0,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,67,58,OWNER,,,,,,monthly issuance,1996-08-23,,,,,,,,317481.50000000006,137,,,,,,,,,3.0,
68,43,53.0,M,50.0,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,68,59,OWNER,,,,,,monthly issuance,1994-03-27,,,,,,,,1802380.3000000021,385,6885.0,2.0,6885.0,695.0,0.0,0.0,0.0,6190.0,6.0,
70,70,74.0,M,70.0,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,70,61,OWNER,,,,,,monthly issuance,1993-12-11,,,,,,,,474569.39999999956,339,2313.0,2.0,2313.0,2313.0,0.0,0.0,0.0,0.0,6.0,
71,70,73.0,F,70.0,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,71,61,DISPONENT,,,,,,monthly issuance,1993-12-11,,,,,,,,474569.39999999956,339,2313.0,2.0,2313.0,2313.0,0.0,0.0,0.0,0.0,6.0,
72,47,77.0,M,70.0,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,72,62,OWNER,,,,,,monthly issuance,1993-03-28,,,,,,,,698825.4999999995,356,2273.0,1.0,2273.0,2273.0,0.0,0.0,0.0,0.0,7.0,
73,22,76.0,M,70.0,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,73,63,OWNER,,,,,,monthly issuance,1996-11-16,,,,,,,,224733.00000000006,129,2394.0,2.0,2394.0,2394.0,0.0,0.0,0.0,0.0,3.0,
74,22,74.0,F,70.0,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,74,63,DISPONENT,,,,,,monthly issuance,1996-11-16,,,,,,,,224733.00000000006,129,2394.0,2.0,2394.0,2394.0,0.0,0.0,0.0,0.0,3.0,
75,64,22.0,F,20.0,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,75,64,OWNER,,,,,,monthly issuance,1997-03-11,,,,,,,,217929.79999999993,44,,,,,,,,,3.0,
76,36,32.0,F,30.0,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,76,65,OWNER,9.0,classic,1997-10-25,1997.0,10.0,monthly issuance,1996-10-29,,,,,,,,1357447.1,181,7402.0,3.0,7402.0,686.0,3401.0,0.0,0.0,3315.0,3.0,
77,1,44.0,F,40.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,77,66,OWNER,10.0,classic,1996-12-07,1996.0,12.0,issuance after transaction,1993-12-03,,,,,,,,5879317.099999998,316,4471.3,1.0,4471.3,0.0,0.0,4471.3,0.0,0.0,6.0,
78,16,56.0,F,50.0,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,78,67,OWNER,,,,,,monthly issuance,1994-10-19,4973.0,165960.0,24.0,6915.0,A,5.0,1996.0,4518164.000000003,382,13753.0,3.0,13753.0,6393.0,0.0,0.0,6915.0,445.0,5.0,1.0
79,37,31.0,F,30.0,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,79,68,OWNER,11.0,gold,1997-10-25,1997.0,10.0,issuance after transaction,1994-12-20,,,,,,,,3645529.4999999995,424,3089.0,4.0,3089.0,1705.0,137.0,0.0,0.0,1247.0,5.0,
80,64,21.0,F,20.0,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,80,69,OWNER,,,,,,monthly issuance,1996-01-12,,,,,,,,501134.9999999996,196,,,,,,,,,4.0,
81,8,24.0,M,20.0,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,81,70,OWNER,,,,,,monthly issuance,1995-02-18,,,,,,,,915220.4999999993,245,4150.0,1.0,4150.0,4150.0,0.0,0.0,0.0,0.0,5.0,
82,8,20.0,F,20.0,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,82,70,DISPONENT,,,,,,monthly issuance,1995-02-18,,,,,,,,915220.4999999993,245,4150.0,1.0,4150.0,4150.0,0.0,0.0,0.0,0.0,5.0,
83,1,21.0,F,20.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,83,71,OWNER,12.0,junior,1996-09-11,1996.0,9.0,monthly issuance,1994-03-05,,,,,,,,2695794.500000003,496,4359.0,4.0,4359.0,968.0,1011.0,0.0,0.0,2380.0,6.0,
84,1,21.0,M,20.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,84,71,DISPONENT,,,,,,monthly issuance,1994-03-05,,,,,,,,2695794.500000003,496,4359.0,4.0,4359.0,968.0,1011.0,0.0,0.0,2380.0,6.0,
85,1,38.0,M,30.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,85,72,OWNER,,,,,,weekly issuance,1996-06-20,,,,,,,,3287344.4999999995,242,12318.0,3.0,12318.0,7109.0,0.0,2923.0,0.0,2286.0,4.0,
86,1,30.0,F,30.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,86,72,DISPONENT,,,,,,weekly issuance,1996-06-20,,,,,,,,3287344.4999999995,242,12318.0,3.0,12318.0,7109.0,0.0,2923.0,0.0,2286.0,4.0,
87,72,53.0,F,50.0,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,87,73,OWNER,13.0,classic,1994-06-29,1994.0,6.0,monthly issuance,1993-11-08,,,,,,,,2564580.1000000024,366,6061.0,1.0,6061.0,6061.0,0.0,0.0,0.0,0.0,6.0,
89,1,49.0,F,40.0,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,89,75,OWNER,,,,,,monthly issuance,1995-08-13,,,,,,,,1085885.4999999995,215,3369.0,1.0,3369.0,3369.0,0.0,0.0,0.0,0.0,4.0,
90,52,24.0,M,20.0,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,90,76,OWNER,,,,,,monthly issuance,1996-05-16,,,,,,,,580225.4999999997,163,5208.0,1.0,5208.0,5208.0,0.0,0.0,0.0,0.0,4.0,
91,63,59.0,M,50.0,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,91,77,OWNER,,,,,,monthly issuance,1996-11-19,,,,,,,,927946.6999999995,104,1709.0,1.0,1709.0,0.0,0.0,1709.0,0.0,0.0,3.0,
92,74,34.0,F,30.0,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,92,78,OWNER,,,,,,monthly issuance,1993-07-07,,,,,,,,2469475.5000000037,388,9039.0,1.0,9039.0,9039.0,0.0,0.0,0.0,0.0,6.0,
93,3,75.0,M,70.0,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,93,79,OWNER,,,,,,monthly issuance,1996-11-29,,,,,,,,191741.9000000001,104,2788.0,1.0,2788.0,2788.0,0.0,0.0,0.0,0.0,3.0,
